set,render,id_idx,mp_detected,iod_over_facew,eye_vpos,lower_face_ratio,bs_jawOpen,bs_eyeBlink,bs_mean_abs,arc_detected,arc_anchor_ok,arc_cosine
refs,id_18_seed21904218.png,18,True,0.4897555432931802,0.3536642655024715,0.20059197665565964,0.000790235644672066,0.0023137147072702646,0.07200550664891764,False,True,
refs,id_18_seed23902643.png,18,True,0.5288393893685536,0.37730488779258337,0.16003931078714964,0.00032998155802488327,0.0023272918188013136,0.10702869937242851,False,True,
refs,id_18_seed28968712.png,18,True,0.5035912369094194,0.345717448408006,0.21384653969473733,0.00029009446734562516,0.0031773564405739307,0.08979456362999617,True,True,0.20762485265731812
refs,id_19_seed20486609.png,19,True,0.494250669788138,0.43085898695078584,0.13613435256879347,0.0024927041959017515,0.01024453155696392,0.09823943667576338,True,True,0.3028399646282196
refs,id_19_seed22485034.png,19,True,0.4608016677399628,0.37302293356678007,0.1561371757198849,0.003141246736049652,0.009551731869578362,0.06994246939696161,True,True,0.5754197835922241
refs,id_19_seed23182975.png,19,True,0.5147278331031352,0.44868821174475637,0.17089931692924704,0.0009547503432258964,0.0022611961176153272,0.13086798531428945,True,True,0.21494808793067932
refs_v2,id_00_seed29189240.png,0,True,0.488230382709351,0.43119423399178297,0.1528135263663488,0.0005047469167038798,0.0014389994903467596,0.12928237599698086,True,True,-0.04696427285671234
refs_v2,id_01_seed22078971.png,1,True,0.527226784435092,0.4057107015630604,0.15149188437993355,0.010668941773474216,0.0019111636211164296,0.14065323927807533,False,True,
refs_v2,id_01_seed24077396.png,1,True,0.4900963200382895,0.36923094958918823,0.15391949960320336,0.01287677139043808,0.0024307677522301674,0.09159474575502977,False,True,
refs_v2,id_01_seed26075821.png,1,True,0.5168977421997879,0.40848517348032354,0.18346148325211412,0.0009359086980111897,0.0038118805969133973,0.1134126095976437,True,True,0.06858953833580017
refs_v2,id_02_seed20879969.png,2,True,0.513457652115573,0.4297205997770843,0.17781748737297842,0.000576408114284277,0.003700175730045885,0.1167484240681726,True,True,0.08736953884363174
refs_v2,id_02_seed21577910.png,2,True,0.51118725024708,0.3956376049136193,0.13042877832924496,0.0021550797391682863,0.0011261216131970286,0.07740421137011047,True,True,0.22687244415283203
refs_v2,id_02_seed23576335.png,2,True,0.5048204180261597,0.4380078053656318,0.15806024567642987,0.0009855719981715083,0.00681238214019686,0.09820330799113443,True,True,0.06477445363998413
refs_v2,id_03_seed24342370.png,3,True,0.46311771286943765,0.3406129943791648,0.19109101458758815,0.001183209242299199,0.028465302661061287,0.030755863507122647,True,True,0.6620270013809204
refs_v2,id_03_seed26829492.png,3,True,0.4840005735972044,0.39442385549693554,0.17379359480581738,0.0006754127680324018,0.002715747628826648,0.05082768531441563,True,True,0.23594799637794495
refs_v2,id_03_seed29276301.png,3,True,0.5083581859917906,0.4320854142780056,0.17128385507778776,0.0010569235309958458,0.0023820161586627364,0.10006019600911906,True,True,0.07190018892288208
refs_v2,id_04_seed23787456.png,4,True,0.5318175867553038,0.4262777851176033,0.16286081579663628,0.0011416432680562139,0.0050700337160378695,0.12691579637699524,True,True,0.23453210294246674
refs_v2,id_04_seed24037013.png,4,True,0.483134177263828,0.41155268691256197,0.14700114284784668,0.0030235329177230597,0.0017383898957632482,0.10336196471043899,True,True,0.2803458571434021
refs_v2,id_04_seed26483822.png,4,True,0.5132682370315067,0.42435476872974454,0.13963895502980564,0.002376158256083727,0.0036711767315864563,0.10599713994776216,True,True,0.29588446021080017
refs_v2,id_05_seed21824895.png,5,True,0.46256378610092475,0.3341259261098154,0.21828239989485618,0.0004099006182514131,0.005670548067428172,0.06938857308441808,True,True,0.3876042068004608
refs_v2,id_05_seed24521261.png,5,True,0.45904046395107073,0.3460273450308871,0.1888995746010647,0.0025187539868056774,0.007690347731113434,0.06631499143866798,True,True,0.49897301197052
refs_v2,id_05_seed29455192.png,5,True,0.49467591782334,0.4260481364138945,0.1670925936529019,0.0016252236673608422,0.005706898868083954,0.11961227811753063,True,True,0.1987197995185852
refs_v2,id_06_seed21364845.png,6,True,0.5340718412678388,0.3847043518327194,0.15798727439845525,0.001643059658817947,0.0010039736807812005,0.07587834699500776,False,False,
refs_v2,id_06_seed26430914.png,6,True,0.5245829933361268,0.37668404269814953,0.17604600145992516,0.001043544034473598,0.0007042359939077869,0.09333641344140234,True,False,
refs_v2,id_06_seed28429339.png,6,True,0.5278407444696113,0.3655135444532792,0.1602225658528624,0.001929891761392355,0.0011048155138269067,0.06472372570305915,True,False,
